fecha_pedido,semana,pedido_id,cliente_id,sucursal,asesor,sector_industrial,familia,abc_cliente,usd,kg,posiciones
2026-04-17,2026-04-13,PED00001,CLI011,SUCURSAL NORTE,ASESOR UNO,SECTOR AGRO,FAMILIA ALFA,C,2581.49,2139.6,1
2026-04-17,2026-04-13,PED00002,CLI020,SUCURSAL NORTE,ASESOR DOS,SECTOR AGRO,FAMILIA ALFA,A,2614.98,2819.9,5
2026-04-14,2026-04-13,PED00003,CLI011,SUCURSAL NORTE,ASESOR UNO,SECTOR INDUSTRIA,FAMILIA BETA,C,642.92,505.7,1
2026-04-13,2026-04-13,PED00004,CLI012,SUCURSAL NORTE,ASESOR TRES,SECTOR AGRO,FAMILIA BETA,C,666.17,685.3,1
2026-04-17,2026-04-13,PED00005,CLI014,SUCURSAL NORTE,ASESOR TRES,SECTOR CONSTRUCCION,FAMILIA GAMMA,C,1588.83,1992.5,3
2026-04-13,2026-04-13,PED00006,CLI012,SUCURSAL NORTE,ASESOR DOS,SECTOR CONSTRUCCION,FAMILIA DELTA,C,2205.81,2509.5,3
2026-04-14,2026-04-13,PED00007,CLI023,SUCURSAL NORTE,ASESOR TRES,SECTOR CONSTRUCCION,FAMILIA BETA,A,680.01,868.5,1
2026-04-14,2026-04-13,PED00007,CLI023,SUCURSAL NORTE,ASESOR TRES,SECTOR CONSTRUCCION,FAMILIA DELTA,A,2120.98,2213.9,3
2026-04-17,2026-04-13,PED00008,CLI012,SUCURSAL NORTE,ASESOR DOS,SECTOR INDUSTRIA,FAMILIA ALFA,B,2612.52,2571.9,1
2026-04-17,2026-04-13,PED00008,CLI012,SUCURSAL NORTE,ASESOR DOS,SECTOR INDUSTRIA,FAMILIA DELTA,B,1580.95,1772.1,5
2026-04-15,2026-04-13,PED00009,CLI012,SUCURSAL NORTE,ASESOR TRES,SECTOR AGRO,FAMILIA DELTA,B,1807.11,1927.4,4
2026-04-14,2026-04-13,PED00010,CLI012,SUCURSAL NORTE,ASESOR UNO,SECTOR CONSTRUCCION,FAMILIA DELTA,C,1596.22,1547.6,5
2026-04-16,2026-04-13,PED00011,CLI016,SUCURSAL SUR,ASESOR UNO,SECTOR AGRO,FAMILIA DELTA,C,1714.71,1381.6,2
2026-04-16,2026-04-13,PED00011,CLI016,SUCURSAL SUR,ASESOR UNO,SECTOR AGRO,FAMILIA ALFA,C,1800.35,1273.3,5
2026-04-16,2026-04-13,PED00012,CLI017,SUCURSAL SUR,ASESOR UNO,SECTOR AGRO,FAMILIA GAMMA,B,2716.85,3027.4,5
2026-04-16,2026-04-13,PED00013,CLI014,SUCURSAL SUR,ASESOR TRES,SECTOR INDUSTRIA,FAMILIA DELTA,C,1912.47,1457.5,4
2026-04-16,2026-04-13,PED00013,CLI014,SUCURSAL SUR,ASESOR TRES,SECTOR INDUSTRIA,FAMILIA BETA,C,1157.33,856.9,2
2026-04-13,2026-04-13,PED00014,CLI036,SUCURSAL SUR,ASESOR DOS,SECTOR CONSTRUCCION,FAMILIA BETA,A,1423.55,1807.0,5
2026-04-14,2026-04-13,PED00015,CLI017,SUCURSAL SUR,ASESOR UNO,SECTOR CONSTRUCCION,FAMILIA GAMMA,C,2394.1,2357.0,1
2026-04-13,2026-04-13,PED00016,CLI018,SUCURSAL SUR,ASESOR DOS,SECTOR AGRO,FAMILIA GAMMA,B,2521.12,2488.8,2
2026-04-14,2026-04-13,PED00017,CLI018,SUCURSAL SUR,ASESOR TRES,SECTOR CONSTRUCCION,FAMILIA ALFA,B,1867.81,1641.5,1
2026-04-15,2026-04-13,PED00018,CLI017,SUCURSAL SUR,ASESOR TRES,SECTOR AGRO,FAMILIA GAMMA,B,2045.2,2427.5,2
2026-04-15,2026-04-13,PED00018,CLI017,SUCURSAL SUR,ASESOR TRES,SECTOR AGRO,FAMILIA DELTA,B,2237.01,2664.3,2
2026-04-13,2026-04-13,PED00019,CLI036,SUCURSAL ESTE,ASESOR TRES,SECTOR AGRO,FAMILIA DELTA,B,1028.38,1093.3,3
2026-04-13,2026-04-13,PED00019,CLI036,SUCURSAL ESTE,ASESOR TRES,SECTOR AGRO,FAMILIA BETA,B,2279.84,2877.6,3
2026-04-16,2026-04-13,PED00020,CLI037,SUCURSAL ESTE,ASESOR DOS,SECTOR CONSTRUCCION,FAMILIA BETA,B,2312.84,2986.2,5
2026-04-13,2026-04-13,PED00021,CLI037,SUCURSAL ESTE,ASESOR UNO,SECTOR AGRO,FAMILIA ALFA,C,800.19,920.3,4
2026-04-13,2026-04-13,PED00021,CLI037,SUCURSAL ESTE,ASESOR UNO,SECTOR AGRO,FAMILIA BETA,C,2691.4,2584.7,3
2026-04-13,2026-04-13,PED00022,CLI039,SUCURSAL ESTE,ASESOR UNO,SECTOR INDUSTRIA,FAMILIA BETA,B,1888.86,1991.8,4
2026-04-13,2026-04-13,PED00022,CLI039,SUCURSAL ESTE,ASESOR UNO,SECTOR INDUSTRIA,FAMILIA ALFA,B,807.15,635.8,5
2026-04-17,2026-04-13,PED00023,CLI036,SUCURSAL ESTE,ASESOR DOS,SECTOR INDUSTRIA,FAMILIA ALFA,C,579.3,743.0,1
2026-04-14,2026-04-13,PED00024,CLI038,SUCURSAL ESTE,ASESOR TRES,SECTOR INDUSTRIA,FAMILIA BETA,C,2097.81,1837.2,2
2026-04-14,2026-04-13,PED00024,CLI038,SUCURSAL ESTE,ASESOR TRES,SECTOR INDUSTRIA,FAMILIA ALFA,C,794.83,711.8,5
