fecha_pedido,semana,pedido_id,cliente_id,sucursal,asesor,sector_industrial,familia,abc_cliente,usd,kg,posiciones
2026-04-06,2026-04-06,PED0000001,CLI_0003,CAPITAL,ASESOR_1,AGRO,PERFILES,B,1699.57,1402.9,1
2026-04-06,2026-04-06,PED0000001,CLI_0003,CAPITAL,ASESOR_1,AGRO,CH304,B,2659.59,3202.9,1
2026-04-10,2026-04-06,PED0000002,CLI_0007,ROSARIO,ASESOR_6,ENERGIA,CH304,B,1254.77,1164.1,4
2026-04-06,2026-04-06,PED0000003,CLI_0033,CORDOBA,ASESOR_3,AUTOPARTES,CH304,B,1306.86,1405.1,3
2026-04-06,2026-04-06,PED0000004,CLI_0009,CAPITAL,ASESOR_6,METALMECANICA,BULONERIA,B,2123.05,2312.7,2
2026-04-06,2026-04-06,PED0000004,CLI_0009,CAPITAL,ASESOR_6,METALMECANICA,PERFILES,B,1792.32,1499.6,2
2026-04-08,2026-04-06,PED0000005,CLI_0018,CORDOBA,ASESOR_1,AUTOPARTES,CH430,C,1081.56,1172.6,6
2026-04-10,2026-04-06,PED0000006,CLI_0033,CORDOBA,ASESOR_6,CONSTRUCCION,CH316,C,1017.73,1619.8,6
2026-04-10,2026-04-06,PED0000006,CLI_0033,CORDOBA,ASESOR_6,CONSTRUCCION,CAÑOS Y TUBOS,C,1622.52,1583.1,3
2026-04-08,2026-04-06,PED0000007,CLI_0019,CAPITAL,ASESOR_2,CONSTRUCCION,PERFILES,C,1931.99,2032.0,6
2026-04-07,2026-04-06,PED0000008,CLI_0038,MENDOZA,ASESOR_4,METALMECANICA,PERFILES,A,1953.78,2232.7,5
2026-04-07,2026-04-06,PED0000008,CLI_0038,MENDOZA,ASESOR_4,METALMECANICA,CH430,A,1164.33,1135.8,2
2026-04-07,2026-04-06,PED0000009,CLI_0012,MENDOZA,ASESOR_1,CONSTRUCCION,CAÑOS Y TUBOS,C,1157.79,1279.7,4
2026-04-07,2026-04-06,PED0000009,CLI_0012,MENDOZA,ASESOR_1,CONSTRUCCION,PERFILES,C,1764.31,2782.1,1
2026-04-06,2026-04-06,PED0000010,CLI_0036,CAPITAL,ASESOR_6,ENERGIA,CH316,C,3108.37,4858.6,6
2026-04-08,2026-04-06,PED0000011,CLI_0029,CORDOBA,ASESOR_5,AUTOPARTES,PERFILES,B,2442.18,2684.3,2
